Multimap	Test Case 1	Test Case 2	Test Case 3	Test Case 4	Test Case 5	Average
10	0.001	0.0000536	0.0000461	0.0000517	0.0000495	0.00024018
100	0.001	0.0005483	0.0008152	0.0004329	0.001	0.00075928
1000	0.011	0.009	0.013	0.005	0.005	0.0086
10000	0.098	0.094	0.199	0.086	0.055	0.1064
50000	0.327	0.335	0.932	0.322	0.391	0.4614
100000	0.597	0.824	1.707	0.541	0.602	0.8542
500000	3.373	3.339	9.044	5.295	4.715	5.1532
						
Unordered Multimap						
10	0.0000586	0.0000502	0.001	0.0000675	0.0000603	0.00024732
100	0.0003929	0.0003967	0.001	0.001	0.0004205	0.00064202
1000	0.003	0.002	0.01	0.005	0.003	0.0046
10000	0.037	0.04	0.114	0.07	0.034	0.059
50000	0.191	0.214	0.481	0.216	0.22	0.2644
100000	0.353	0.444	1.018	0.432	0.362	0.5218
500000	1.907	2.201	5.046	1.949	1.969	2.6144
